Monat;Tag;dow
01;01;4
01;02;5
01;03;6
01;04;7
01;05;1
01;06;2
01;07;3
01;08;4
01;09;5
01;10;6
01;11;7
01;12;1
01;13;2
01;14;3
01;15;4
01;16;5
01;17;6
01;18;7
01;19;1
01;20;2
01;21;3
01;22;4
01;23;5
01;24;6
01;25;7
01;26;1
01;27;2
01;28;3
01;29;4
01;30;5
01;31;6
02;01;7
02;02;1
02;03;2
02;04;3
02;05;4
02;06;5
02;07;6
02;08;7
02;09;1
02;10;2
02;11;3
02;12;4
02;13;5
02;14;6
02;15;7
02;16;1
02;17;2
02;18;3
02;19;4
02;20;5
02;21;6
02;22;7
02;23;1
02;24;2
02;25;3
02;26;4
02;27;5
02;28;6
02;29;7
03;01;1
03;02;2
03;03;3
03;04;4
03;05;5
03;06;6
03;07;7
03;08;1
03;09;2
03;10;3
03;11;4
03;12;5
03;13;6
03;14;7
03;15;1
03;16;2
03;17;3
03;18;4
03;19;5
03;20;6
03;21;7
03;22;1
03;23;2
03;24;3
03;25;4
03;26;5
03;27;6
03;28;7
03;29;1
03;30;2
03;31;3
04;01;4
04;02;5
04;03;6
04;04;7
04;05;1
04;06;2
04;07;3
04;08;4
04;09;5
04;10;6
04;11;7
04;12;1
04;13;2
04;14;3
04;15;4
04;16;5
04;17;6
04;18;7
04;19;1
04;20;2
04;21;3
04;22;4
04;23;5
04;24;6
04;25;7
04;26;1
04;27;2
04;28;3
04;29;4
04;30;5
05;01;6
05;02;7
05;03;1
05;04;2
05;05;3
05;06;4
05;07;5
05;08;6
05;09;7
05;10;1
05;11;2
05;12;3
05;13;4
05;14;5
05;15;6
05;16;7
05;17;1
05;18;2
05;19;3
05;20;4
05;21;5
05;22;6
05;23;7
05;24;1
05;25;2
05;26;3
05;27;4
05;28;5
05;29;6
05;30;7
05;31;1
06;01;2
06;02;3
06;03;4
06;04;5
06;05;6
06;06;7
06;07;1
06;08;2
06;09;3
06;10;4
06;11;5
06;12;6
06;13;7
06;14;1
06;15;2
06;16;3
06;17;4
06;18;5
06;19;6
06;20;7
06;21;1
06;22;2
06;23;3
06;24;4
06;25;5
06;26;6
06;27;7
06;28;1
06;29;2
06;30;3
07;01;4
07;02;5
07;03;6
07;04;7
07;05;1
07;06;2
07;07;3
07;08;4
07;09;5
07;10;6
07;11;7
07;12;1
07;13;2
07;14;3
07;15;4
07;16;5
07;17;6
07;18;7
07;19;1
07;20;2
07;21;3
07;22;4
07;23;5
07;24;6
07;25;7
07;26;1
07;27;2
07;28;3
07;29;4
07;30;5
07;31;6
08;01;7
08;02;1
08;03;2
08;04;3
08;05;4
08;06;5
08;07;6
08;08;7
08;09;1
08;10;2
08;11;3
08;12;4
08;13;5
08;14;6
08;15;7
08;16;1
08;17;2
08;18;3
08;19;4
08;20;5
08;21;6
08;22;7
08;23;1
08;24;2
08;25;3
08;26;4
08;27;5
08;28;6
08;29;7
08;30;1
08;31;2
09;01;3
09;02;4
09;03;5
09;04;6
09;05;7
09;06;1
09;07;2
09;08;3
09;09;4
09;10;5
09;11;6
09;12;7
09;13;1
09;14;2
09;15;3
09;16;4
09;17;5
09;18;6
09;19;7
09;20;1
09;21;2
09;22;3
09;23;4
09;24;5
09;25;6
09;26;7
09;27;1
09;28;2
09;29;3
09;30;4
10;01;5
10;02;6
10;03;7
10;04;1
10;05;2
10;06;3
10;07;4
10;08;5
10;09;6
10;10;7
10;11;1
10;12;2
10;13;3
10;14;4
10;15;5
10;16;6
10;17;7
10;18;1
10;19;2
10;20;3
10;21;4
10;22;5
10;23;6
10;24;7
10;25;1
10;26;2
10;27;3
10;28;4
10;29;5
10;30;6
10;31;7
11;01;1
11;02;2
11;03;3
11;04;4
11;05;5
11;06;6
11;07;7
11;08;1
11;09;2
11;10;3
11;11;4
11;12;5
11;13;6
11;14;7
11;15;1
11;16;2
11;17;3
11;18;4
11;19;5
11;20;6
11;21;7
11;22;1
11;23;2
11;24;3
11;25;4
11;26;5
11;27;6
11;28;7
11;29;1
11;30;2
12;01;3
12;02;4
12;03;5
12;04;6
12;05;7
12;06;1
12;07;2
12;08;3
12;09;4
12;10;5
12;11;6
12;12;7
12;13;1
12;14;2
12;15;3
12;16;4
12;17;5
12;18;6
12;19;7
12;20;1
12;21;2
12;22;3
12;23;4
12;24;5
12;25;6
12;26;7
12;27;1
12;28;2
12;29;3
12;30;4
12;31;5
